UIK,UIK.NO,VOTERS,BULL.RECEIVED,BULL.ISS.PRELIMINARY,BULL.ISS.PRELIMINARY.TIK,BULL.ISS.UIK.DAYOFVOTE,BULL.ISS.EXTRA,BULL.CANCELLED,BULL.PORTABLE_BOXES,BULL.STATIONARY_BOXES,BULL.INVALID,BULL.VALID,BULL.LOST,BULL.NOT.RECORDED,TIK.NO,BIKBAEV,BIKBAEV.pct,IVANOVA,IVANOVA.pct,PETROV,PETROV.pct,POLTAVCHENKO,POLTAVCHENKO.pct,SUKHENKO,SUKHENKO.pct
"УИК №644",644,2072,1500,323,64,539,12,690,12,862,17,857,0,0,7,4,0.0046,74,0.0847,10,0.0114,755,0.8638,14,0.016
"УИК №757",757,2261,1600,55,10,425,16,1114,16,480,18,478,0,0,7,17,0.0343,82,0.1653,8,0.0161,356,0.7177,15,0.0302
"УИК №758",758,2145,1500,45,13,391,19,1058,19,435,27,427,0,0,7,11,0.0242,69,0.152,13,0.0286,322,0.7093,12,0.0264
"УИК №759",759,1348,1000,37,10,273,6,694,6,310,13,303,0,0,7,8,0.0253,62,0.1962,9,0.0285,213,0.6741,11,0.0348
"УИК №760",760,2021,1500,45,10,435,10,1020,10,425,23,412,0,0,7,14,0.0322,99,0.2276,13,0.0299,269,0.6184,17,0.0391
"УИК №761",761,2130,1500,92,9,405,7,1005,7,497,27,477,0,0,7,16,0.0317,79,0.1567,11,0.0218,350,0.6944,21,0.0417
"УИК №762",762,2690,2000,84,12,449,14,1465,14,532,29,517,0,0,7,13,0.0238,86,0.1575,12,0.022,384,0.7033,22,0.0403
"УИК №763",763,2211,1550,82,12,415,22,1043,22,497,25,494,0,0,7,8,0.0154,80,0.1541,6,0.0116,380,0.7322,20,0.0385
"УИК №764",764,1068,800,39,6,195,10,562,10,233,14,229,0,0,7,10,0.0412,43,0.177,5,0.0206,162,0.6667,9,0.037
"УИК №765",765,2715,2000,87,16,508,19,1402,19,591,19,591,0,0,7,20,0.0328,94,0.1541,16,0.0262,439,0.7197,22,0.0361
"УИК №766",766,2501,2000,80,12,525,8,1399,8,605,34,579,0,0,7,18,0.0294,94,0.1533,20,0.0326,426,0.6949,21,0.0343
"УИК №767",767,2321,1600,68,9,482,3,1056,3,549,28,524,0,0,7,19,0.0344,95,0.1721,18,0.0326,368,0.6667,24,0.0435
"УИК №768",768,2505,2000,54,11,465,2,1490,2,520,27,495,0,0,7,16,0.0307,103,0.1973,18,0.0345,341,0.6533,17,0.0326
"УИК №769",769,2785,2000,75,11,426,3,1507,3,501,29,475,0,0,7,12,0.0238,70,0.1389,6,0.0119,375,0.744,12,0.0238
"УИК №770",770,1400,1000,46,7,265,6,690,6,308,14,300,0,0,7,6,0.0191,58,0.1847,9,0.0287,208,0.6624,19,0.0605
"УИК №771",771,1159,1000,20,5,214,5,766,5,234,23,216,0,0,7,12,0.0502,46,0.1925,11,0.046,142,0.5941,5,0.0209
"УИК №772",772,1927,1500,71,8,339,13,1085,13,409,14,408,0,0,7,8,0.019,69,0.1635,10,0.0237,295,0.6991,26,0.0616
"УИК №773",773,1973,1500,80,7,354,8,1065,8,434,22,420,0,0,7,10,0.0226,67,0.1516,16,0.0362,306,0.6923,21,0.0475
"УИК №774",774,1942,1500,58,3,339,8,1098,8,397,21,384,0,0,7,10,0.0247,56,0.1383,10,0.0247,293,0.7235,15,0.037
"УИК №775",775,2423,1700,55,11,481,8,1167,8,533,37,504,0,0,7,10,0.0185,105,0.1941,16,0.0296,339,0.6266,34,0.0628
"УИК №776",776,2355,1700,79,12,409,20,1204,20,488,32,476,0,0,7,20,0.0394,94,0.185,11,0.0217,331,0.6516,20,0.0394
"УИК №777",777,1732,1200,54,11,359,3,795,3,413,16,400,0,0,7,10,0.024,74,0.1779,17,0.0409,285,0.6851,14,0.0337
"УИК №778",778,1710,1200,65,7,365,14,763,14,430,25,419,0,0,7,9,0.0203,75,0.1689,12,0.027,309,0.6959,14,0.0315
"УИК №779",779,1712,1200,42,7,255,7,903,7,297,14,290,0,0,7,6,0.0197,48,0.1579,5,0.0164,216,0.7105,15,0.0493
"УИК №780",780,1687,1200,46,12,314,10,842,10,359,4,365,0,0,7,11,0.0298,50,0.1355,9,0.0244,286,0.7751,9,0.0244
"УИК №781",781,2529,1200,73,12,497,25,617,25,570,28,567,0,0,7,17,0.0286,85,0.1429,9,0.0151,446,0.7496,10,0.0168
"УИК №782",782,1424,1000,73,10,184,1,752,1,257,8,250,0,0,7,6,0.0233,29,0.1124,2,0.0078,208,0.8062,5,0.0194
"УИК №783",783,2389,1700,62,8,396,21,1229,21,459,21,459,0,0,7,9,0.0188,73,0.1521,5,0.0104,354,0.7375,18,0.0375
"УИК №784",784,1874,1500,49,5,299,12,1145,12,348,10,350,0,0,7,5,0.0139,52,0.1444,11,0.0306,272,0.7556,10,0.0278
"УИК №785",785,2292,1600,76,16,367,15,1158,15,443,25,433,0,0,7,11,0.024,73,0.1594,6,0.0131,322,0.7031,21,0.0459
"УИК №786",786,1348,1000,32,3,236,1,734,1,268,19,250,0,0,7,5,0.0186,46,0.171,7,0.026,180,0.6691,12,0.0446
"УИК №787",787,2005,1500,44,12,360,4,1104,4,404,23,385,0,0,7,10,0.0245,68,0.1667,14,0.0343,276,0.6765,17,0.0417
"УИК №788",788,2684,1900,191,34,528,5,1210,5,715,33,687,0,0,7,20,0.0278,165,0.2292,22,0.0306,448,0.6222,32,0.0444
"УИК №789",789,2257,1600,168,13,331,2,1112,2,497,26,473,0,0,7,14,0.0281,51,0.1022,10,0.02,383,0.7675,15,0.0301
"УИК №790",790,2397,1700,189,19,384,1,1145,1,572,20,553,0,0,7,13,0.0227,74,0.1291,8,0.014,441,0.7696,17,0.0297
"УИК №791",791,2500,1800,153,21,369,7,1292,7,543,24,526,0,0,7,8,0.0145,72,0.1309,15,0.0273,418,0.76,13,0.0236
"УИК №792",792,2158,1600,223,23,340,4,1056,4,563,24,543,0,0,7,9,0.0159,56,0.0988,13,0.0229,449,0.7919,16,0.0282
"УИК №793",793,2076,1500,203,11,354,16,938,16,556,37,535,0,0,7,21,0.0367,60,0.1049,19,0.0332,413,0.722,22,0.0385
"УИК №794",794,1945,1500,161,11,323,8,1019,8,476,22,462,0,0,7,15,0.031,78,0.1612,9,0.0186,340,0.7025,20,0.0413
"УИК №795",795,2538,1800,167,17,340,8,1302,8,509,24,493,0,0,7,20,0.0387,92,0.1779,13,0.0251,342,0.6615,26,0.0503
"УИК №796",796,2458,1700,174,17,380,6,1157,6,553,24,535,0,0,7,13,0.0233,68,0.1216,20,0.0358,422,0.7549,12,0.0215
"УИК №797",797,2163,1600,213,27,280,6,1128,6,489,15,480,0,0,7,17,0.0343,64,0.1293,13,0.0263,353,0.7131,33,0.0667
"УИК №798",798,2125,1600,242,8,366,5,995,5,616,8,613,0,0,7,21,0.0338,62,0.0998,17,0.0274,480,0.7729,33,0.0531
"УИК №799",799,1802,1500,153,8,299,3,1053,3,449,22,430,0,0,7,11,0.0243,58,0.1283,17,0.0376,317,0.7013,27,0.0597
"УИК №800",800,2310,1700,145,13,399,7,1162,7,540,37,510,0,0,7,27,0.0494,94,0.1718,28,0.0512,323,0.5905,38,0.0695
"УИК №801",801,1579,1200,185,42,233,58,766,58,416,9,465,0,0,7,12,0.0253,58,0.1224,17,0.0359,352,0.7426,26,0.0549
"УИК №802",802,2435,2000,347,12,403,9,1253,9,750,42,717,0,0,7,7,0.0092,83,0.1094,18,0.0237,576,0.7589,33,0.0435
"УИК №803",803,2320,1700,274,15,389,2,1050,2,659,29,632,0,0,7,14,0.0212,47,0.0711,14,0.0212,541,0.8185,16,0.0242
"УИК №804",804,2377,1700,257,20,453,10,1000,10,710,28,692,0,0,7,13,0.0181,95,0.1319,15,0.0208,541,0.7514,28,0.0389
"УИК №805",805,1979,1500,271,44,290,3,980,3,560,7,556,0,0,7,13,0.0231,56,0.0995,15,0.0266,465,0.8259,7,0.0124
"УИК №806",806,2487,1800,244,10,383,6,1177,6,627,28,605,0,0,7,14,0.0221,96,0.1517,11,0.0174,477,0.7536,7,0.0111
"УИК №807",807,2322,1700,256,12,290,1,1165,1,545,23,523,0,0,7,7,0.0128,56,0.1026,7,0.0128,435,0.7967,18,0.033
"УИК №808",808,2038,1500,166,23,362,53,942,53,526,38,541,0,0,7,11,0.019,52,0.0898,15,0.0259,456,0.7876,7,0.0121
"УИК №809",809,2443,1800,206,7,487,27,1087,27,673,39,661,0,0,7,16,0.0229,74,0.1057,9,0.0129,534,0.7629,28,0.04
"УИК №810",810,2778,2000,297,33,510,8,1218,8,805,37,776,0,0,7,20,0.0246,116,0.1427,24,0.0295,589,0.7245,27,0.0332
"УИК №811",811,2746,2000,167,17,475,9,1366,9,642,37,614,0,0,7,15,0.023,94,0.1444,28,0.043,450,0.6912,27,0.0415
"УИК №812",812,2181,1600,156,19,360,6,1097,6,516,34,488,0,0,7,16,0.0307,79,0.1513,12,0.023,370,0.7088,11,0.0211
"УИК №813",813,1913,1500,181,16,328,39,968,39,509,22,526,0,0,7,21,0.0383,74,0.135,17,0.031,389,0.7099,25,0.0456
"УИК №814",814,2282,1600,162,11,336,24,1089,24,486,21,489,0,0,7,9,0.0176,52,0.102,10,0.0196,406,0.7961,12,0.0235
"УИК №815",815,273,250,0,0,183,37,30,37,183,7,213,0,0,7,4,0.0182,32,0.1455,5,0.0227,165,0.75,7,0.0318
"УИК №1674",1674,1096,850,187,58,239,41,441,41,424,12,453,0,0,8,10,0.0215,40,0.086,12,0.0258,374,0.8043,17,0.0366
"УИК №1675",1675,874,750,53,22,274,11,434,11,327,20,318,0,0,8,4,0.0118,61,0.1805,8,0.0237,231,0.6834,14,0.0414
"УИК №1676",1676,1927,1500,206,67,580,17,764,17,785,25,777,0,0,8,19,0.0237,119,0.1484,18,0.0224,604,0.7531,17,0.0212
"УИК №1677",1677,1467,1200,69,24,329,23,803,23,398,22,399,0,0,8,14,0.0333,63,0.1496,8,0.019,299,0.7102,15,0.0356
"УИК №1678",1678,621,500,50,7,171,16,270,16,220,7,229,0,0,8,6,0.0254,27,0.1144,4,0.0169,184,0.7797,8,0.0339
"УИК №1679",1679,1875,1500,184,51,574,35,758,35,756,43,748,0,0,8,15,0.019,95,0.1201,28,0.0354,596,0.7535,14,0.0177
"УИК №1680",1680,1945,1500,274,67,505,48,740,48,779,44,783,0,0,8,13,0.0157,70,0.0846,20,0.0242,665,0.8041,15,0.0181
"УИК №1681",1681,277,286,65,0,152,44,25,44,217,10,251,0,0,8,2,0.0077,9,0.0345,2,0.0077,237,0.908,1,0.0038
"УИК №1682",1682,2297,2000,198,57,515,15,1329,15,713,31,697,0,0,8,20,0.0275,80,0.1099,8,0.011,575,0.7898,14,0.0192
"УИК №1683",1683,2147,2000,147,90,525,26,1392,26,671,39,658,0,0,8,14,0.0201,83,0.1191,14,0.0201,529,0.759,18,0.0258
"УИК №1684",1684,2413,2000,237,88,558,33,1260,33,794,32,795,0,0,8,16,0.0193,127,0.1536,21,0.0254,615,0.7437,16,0.0193
"УИК №1685",1685,2803,2500,221,110,589,42,1758,42,784,40,786,0,0,8,13,0.0157,126,0.1525,20,0.0242,604,0.7312,23,0.0278
"УИК №1686",1686,1763,1500,284,77,439,20,834,19,722,44,697,0,0,8,20,0.027,105,0.1417,10,0.0135,540,0.7287,22,0.0297
"УИК №1687",1687,2018,1500,160,76,819,24,573,24,979,29,974,0,0,8,13,0.013,91,0.0907,20,0.0199,831,0.8285,19,0.0189
"УИК №1688",1688,1813,1500,159,65,726,20,660,20,706,44,682,0,0,8,18,0.0248,98,0.135,18,0.0248,535,0.7369,13,0.0179
"УИК №1689",1689,2396,2000,191,90,588,38,1273,38,779,37,780,0,0,8,19,0.0233,105,0.1285,28,0.0343,604,0.7393,24,0.0294
"УИК №1690",1690,2300,2000,141,77,601,35,1300,35,742,31,746,0,0,8,13,0.0167,82,0.1055,23,0.0296,616,0.7928,12,0.0154
"УИК №1691",1691,1875,1500,157,70,518,28,867,28,670,34,664,0,0,8,18,0.0258,103,0.1476,29,0.0415,505,0.7235,9,0.0129
"УИК №1692",1692,615,611,101,7,304,123,90,123,405,74,454,0,0,8,30,0.0568,24,0.0455,19,0.036,362,0.6856,19,0.036
"УИК №1693",1693,2672,2500,203,93,587,11,1792,11,789,46,754,0,0,8,12,0.015,114,0.1425,19,0.0238,580,0.725,29,0.0363
"УИК №1694",1694,2306,2000,180,74,543,24,1327,24,720,47,697,0,0,8,18,0.0242,97,0.1304,24,0.0323,541,0.7272,17,0.0228
"УИК №1695",1695,2645,2500,201,91,675,26,1689,26,874,49,851,0,0,8,15,0.0167,137,0.1522,26,0.0289,649,0.7211,24,0.0267
"УИК №1696",1696,2429,2000,144,59,651,28,1236,28,793,71,750,0,0,8,18,0.0219,140,0.1705,25,0.0305,540,0.6577,27,0.0329
"УИК №1697",1697,1755,1500,114,52,409,13,1016,13,522,25,510,0,0,8,7,0.0131,92,0.172,15,0.028,380,0.7103,16,0.0299
"УИК №1698",1698,2054,2000,126,64,468,16,1454,16,594,28,582,0,0,8,21,0.0344,81,0.1328,13,0.0213,445,0.7295,22,0.0361
"УИК №1699",1699,3258,3000,303,70,1451,6,1310,6,1759,33,1732,0,0,8,16,0.0091,159,0.0901,37,0.021,1492,0.8453,28,0.0159
"УИК №1700",1700,2876,2500,214,95,782,19,1580,19,993,52,960,0,0,8,25,0.0247,158,0.1561,33,0.0326,720,0.7115,24,0.0237
"УИК №1701",1701,1335,1000,46,29,127,21,835,21,172,19,174,0,0,8,11,0.057,36,0.1865,5,0.0259,121,0.6269,1,0.0052
"УИК №1702",1702,221,500,169,0,43,7,281,7,212,6,213,0,0,8,1,0.0046,27,0.1233,8,0.0365,169,0.7717,8,0.0365
"УИК №1706",1706,2592,1900,157,72,593,22,1200,22,747,34,735,0,0,9,16,0.0208,93,0.1209,17,0.0221,578,0.7516,31,0.0403
"УИК №1707",1707,804,600,81,32,435,2,114,2,433,2,433,0,0,9,5,0.0115,27,0.0621,4,0.0092,397,0.9126,0,0
"УИК №1708",1708,2961,2200,198,110,486,43,1583,43,684,18,709,0,0,9,14,0.0193,91,0.1252,16,0.022,572,0.7868,16,0.022
"УИК №1709",1709,1515,1100,110,49,373,7,659,7,483,14,476,0,0,9,6,0.0122,71,0.1449,12,0.0245,381,0.7776,6,0.0122
"УИК №1710",1710,1231,900,92,59,286,20,561,20,376,8,388,0,0,9,7,0.0177,48,0.1212,8,0.0202,318,0.803,7,0.0177
"УИК №1711",1711,1626,1200,108,60,359,23,770,23,467,18,472,0,0,9,6,0.0122,65,0.1327,11,0.0224,380,0.7755,10,0.0204
"УИК №1712",1712,1873,1200,286,153,920,16,131,16,1222,18,1220,0,0,9,34,0.0275,95,0.0767,24,0.0194,1036,0.8368,31,0.025
"УИК №1713",1713,2123,1600,198,74,1133,16,327,16,1257,21,1252,0,0,9,9,0.0071,72,0.0566,16,0.0126,1138,0.894,17,0.0134
"УИК №1714",1714,1735,1300,142,75,885,28,320,28,1027,0,1055,0,0,9,25,0.0237,114,0.1081,13,0.0123,875,0.8294,28,0.0265
"УИК №1715",1715,1237,900,85,65,257,15,608,15,342,12,345,0,0,9,8,0.0224,43,0.1204,9,0.0252,273,0.7647,12,0.0336
"УИК №1716",1716,1617,1200,113,80,234,17,916,17,347,15,349,0,0,9,6,0.0165,42,0.1154,7,0.0192,280,0.7692,14,0.0385
"УИК №1717",1717,1419,1050,107,64,256,15,736,15,363,10,368,0,0,9,12,0.0317,43,0.1138,7,0.0185,299,0.791,7,0.0185
"УИК №1718",1718,2820,2100,231,174,514,13,1516,13,743,21,735,0,0,9,15,0.0198,93,0.123,11,0.0146,591,0.7817,25,0.0331
"УИК №1719",1719,1670,1200,135,98,338,11,814,11,473,20,464,0,0,9,8,0.0165,63,0.1302,7,0.0145,371,0.7665,15,0.031
"УИК №1720",1720,1561,1100,174,113,304,4,731,4,478,13,469,0,0,9,9,0.0187,64,0.1328,7,0.0145,379,0.7863,10,0.0207
"УИК №1721",1721,1482,1100,134,95,284,11,766,11,418,7,422,0,0,9,3,0.007,74,0.1725,6,0.014,328,0.7646,11,0.0256
"УИК №1722",1722,1658,1250,176,112,301,9,876,9,476,18,467,0,0,9,10,0.0206,50,0.1031,9,0.0186,372,0.767,26,0.0536
"УИК №1723",1723,964,700,61,31,595,17,58,17,656,7,666,0,0,9,10,0.0149,105,0.156,5,0.0074,526,0.7816,20,0.0297
"УИК №199",199,2224,1500,246,215,866,0,603,0,1112,18,1094,0,0,10,22,0.0198,112,0.1007,14,0.0126,918,0.8255,28,0.0252
"УИК №200",200,2577,1500,65,53,1246,9,233,9,1245,16,1238,0,0,10,12,0.0096,133,0.1061,11,0.0088,1063,0.8477,19,0.0152
"УИК №201",201,1770,1000,193,183,699,2,289,2,866,24,844,0,0,10,9,0.0104,123,0.1417,9,0.0104,693,0.7984,10,0.0115
"УИК №202",202,1849,1000,153,144,852,0,139,0,851,6,845,0,0,10,8,0.0094,78,0.0917,12,0.0141,741,0.8707,6,0.0071
"УИК №203",203,905,500,89,85,366,1,129,1,455,6,450,0,0,10,9,0.0197,41,0.0899,6,0.0132,386,0.8465,8,0.0175
"УИК №204",204,1919,1000,160,146,285,0,701,0,445,20,425,0,0,10,8,0.018,44,0.0989,10,0.0225,349,0.7843,14,0.0315
"УИК №205",205,2090,1000,48,32,894,34,56,34,942,30,946,0,0,10,18,0.0184,124,0.127,17,0.0174,763,0.7818,24,0.0246
"УИК №206",206,2187,1000,98,78,823,3,154,3,921,20,904,0,0,10,20,0.0216,107,0.1158,16,0.0173,725,0.7846,36,0.039
"УИК №207",207,1261,1000,116,93,243,1,734,1,358,22,337,0,1,10,10,0.0279,41,0.1142,1,0.0028,275,0.766,10,0.0279
"УИК №208",208,2462,1500,80,63,349,26,1108,26,429,27,428,0,0,10,9,0.0198,63,0.1385,9,0.0198,326,0.7165,21,0.0462
"УИК №209",209,2246,1500,154,125,937,38,496,38,1091,17,1112,0,0,10,22,0.0195,92,0.0815,14,0.0124,955,0.8459,29,0.0257
"УИК №210",210,2527,1500,81,43,478,32,952,32,478,24,486,0,0,10,8,0.0157,73,0.1431,9,0.0176,376,0.7373,20,0.0392
"УИК №211",211,2484,1500,103,65,368,6,1088,6,468,19,455,0,0,10,12,0.0253,69,0.1456,9,0.019,350,0.7384,15,0.0316
"УИК №212",212,2443,1500,59,37,696,3,779,3,755,18,740,0,0,10,10,0.0132,79,0.1042,12,0.0158,627,0.8272,12,0.0158
"УИК №213",213,2416,1500,73,34,1199,6,256,6,1272,34,1244,0,0,10,30,0.0235,123,0.0962,26,0.0203,1031,0.8067,34,0.0266
"УИК №214",214,2516,1500,106,85,1115,3,361,3,1219,35,1187,0,0,10,19,0.0155,124,0.1015,18,0.0147,994,0.8134,32,0.0262
"УИК №215",215,2403,1500,212,174,328,3,1131,3,533,16,520,0,0,10,3,0.0056,68,0.1269,13,0.0243,419,0.7817,17,0.0317
"УИК №216",216,2012,1000,70,41,893,0,78,0,963,27,936,0,0,10,12,0.0125,82,0.0852,18,0.0187,798,0.8287,26,0.027
"УИК №217",217,2383,1500,223,196,325,2,1146,2,548,20,530,0,0,10,12,0.0218,56,0.1018,4,0.0073,442,0.8036,16,0.0291
"УИК №218",218,2414,1500,73,46,353,3,1117,3,420,16,407,0,0,10,10,0.0236,54,0.1277,10,0.0236,320,0.7565,13,0.0307
"УИК №219",219,2292,1500,42,34,1110,0,382,0,1117,19,1098,0,0,10,19,0.017,89,0.0797,16,0.0143,951,0.8514,23,0.0206
"УИК №220",220,2298,1500,70,44,997,8,469,8,1067,13,1062,0,0,10,16,0.0149,93,0.0865,17,0.0158,918,0.854,18,0.0167
"УИК №221",221,1780,1000,333,312,256,9,714,9,587,12,584,0,0,10,12,0.0201,50,0.0839,9,0.0151,505,0.8473,8,0.0134
"УИК №222",222,2331,1500,218,199,317,10,1154,10,531,39,502,0,0,10,9,0.0166,69,0.1275,13,0.024,391,0.7227,20,0.037
"УИК №223",223,1882,1000,230,213,261,3,719,3,486,18,471,0,0,10,14,0.0286,50,0.1022,17,0.0348,376,0.7689,14,0.0286
"УИК №224",224,1590,1000,245,216,261,8,702,8,490,16,482,0,0,10,12,0.0241,58,0.1165,7,0.0141,390,0.7831,15,0.0301
"УИК №225",225,2100,1000,375,353,309,2,667,0,684,31,653,0,0,10,10,0.0146,72,0.1053,14,0.0205,538,0.7865,19,0.0278
"УИК №226",226,2323,1500,364,348,300,9,1175,9,666,36,639,0,0,10,9,0.0133,49,0.0726,10,0.0148,557,0.8252,14,0.0207
"УИК №227",227,2556,1500,420,387,323,32,1112,32,738,26,744,0,0,10,8,0.0104,72,0.0935,4,0.0052,645,0.8377,15,0.0195
"УИК №228",228,2264,1500,276,250,357,2,1115,2,631,33,600,0,0,10,14,0.0221,65,0.1027,7,0.0111,500,0.7899,14,0.0221
"УИК №229",229,2422,1500,276,247,405,1,1065,1,678,36,643,0,0,10,20,0.0295,70,0.1031,7,0.0103,514,0.757,32,0.0471
"УИК №230",230,1837,1000,282,270,235,0,753,0,507,14,493,0,0,10,5,0.0099,46,0.0907,5,0.0099,420,0.8284,17,0.0335
"УИК №231",231,1803,1000,269,239,289,0,681,0,554,24,530,0,0,10,19,0.0343,58,0.1047,11,0.0199,421,0.7599,21,0.0379
"УИК №232",232,2439,1500,335,300,341,2,1122,2,676,24,654,0,0,10,12,0.0177,57,0.0841,12,0.0177,546,0.8053,27,0.0398
"УИК №233",233,2092,1000,197,182,283,2,700,2,477,19,460,0,0,10,5,0.0104,50,0.1044,7,0.0146,386,0.8058,12,0.0251
"УИК №234",234,2077,1000,343,328,266,4,715,4,609,18,595,0,0,10,9,0.0147,52,0.0848,10,0.0163,510,0.832,14,0.0228
"УИК №235",235,2204,1000,338,315,313,15,649,15,649,17,647,0,0,10,16,0.0241,54,0.0813,11,0.0166,554,0.8343,12,0.0181
"УИК №236",236,2049,1000,277,257,329,14,637,14,597,32,579,0,0,10,6,0.0098,51,0.0835,11,0.018,488,0.7987,23,0.0376
"УИК №237",237,2023,1500,375,364,289,17,1183,17,656,15,658,0,0,10,10,0.0149,64,0.0951,6,0.0089,563,0.8366,15,0.0223
"УИК №238",238,1806,1000,271,250,247,15,717,15,499,16,498,0,0,10,8,0.0156,46,0.0895,9,0.0175,417,0.8113,18,0.035
"УИК №239",239,2611,1000,345,324,315,4,660,4,646,17,633,0,0,10,16,0.0246,88,0.1354,11,0.0169,505,0.7769,13,0.02
"УИК №240",240,1855,1000,177,157,216,7,757,7,393,16,384,0,0,10,6,0.015,51,0.1275,6,0.015,304,0.76,17,0.0425
"УИК №241",241,2056,1000,321,285,334,11,619,9,651,39,621,0,0,10,20,0.0303,79,0.1197,18,0.0273,487,0.7379,17,0.0258
"УИК №242",242,1929,1052,194,172,263,9,758,9,457,25,441,0,0,10,6,0.0129,53,0.1137,11,0.0236,356,0.7639,15,0.0322
"УИК №243",243,2295,1500,269,254,289,5,1191,5,557,21,541,0,0,10,10,0.0178,62,0.1103,11,0.0196,425,0.7562,33,0.0587
"УИК №244",244,2204,1500,272,234,331,9,1122,9,593,30,572,0,0,10,12,0.0199,66,0.1096,5,0.0083,465,0.7724,24,0.0399
"УИК №414",414,1988,1300,284,165,709,8,464,8,993,24,977,0,0,11,14,0.014,55,0.0549,16,0.016,866,0.8651,26,0.026
"УИК №415",415,2663,2800,742,180,1524,13,701,13,2233,141,2105,0,0,11,22,0.0098,99,0.0441,25,0.0111,1914,0.8522,45,0.02
"УИК №416",416,2221,1800,322,170,635,7,1006,7,956,46,917,0,0,11,13,0.0135,77,0.0799,23,0.0239,789,0.8193,15,0.0156
"УИК №417",417,2393,1800,349,206,1105,27,525,27,1214,31,1210,0,0,11,18,0.0145,93,0.0749,10,0.0081,1075,0.8662,14,0.0113
"УИК №418",418,1966,1800,289,185,867,6,823,6,1156,21,1141,0,0,11,26,0.0224,54,0.0465,10,0.0086,1027,0.8838,24,0.0207
"УИК №419",419,1712,1300,253,191,517,20,701,20,770,9,781,0,0,11,39,0.0494,119,0.1506,79,0.1,447,0.5658,97,0.1228
"УИК №420",420,2309,1800,344,226,1111,75,496,75,1455,7,1523,0,0,11,41,0.0268,143,0.0935,101,0.066,1115,0.7288,123,0.0804
"УИК №421",421,2898,2300,429,206,1019,6,1052,6,1448,33,1421,0,0,11,77,0.053,127,0.0873,102,0.0702,971,0.6678,144,0.099
"УИК №422",422,2335,1800,343,213,740,59,871,59,1120,45,1134,0,0,11,14,0.0119,70,0.0594,27,0.0229,999,0.8473,24,0.0204
"УИК №423",423,2084,1300,304,159,1038,117,0,117,1342,0,1459,0,0,11,80,0.0548,122,0.0836,81,0.0555,1170,0.8019,6,0.0041
"УИК №424",424,2358,1800,342,176,791,11,832,11,1130,38,1103,0,0,11,9,0.0079,71,0.0622,14,0.0123,983,0.8615,26,0.0228
"УИК №425",425,2191,1800,315,221,817,22,867,22,1131,14,1139,0,0,11,13,0.0113,228,0.1977,68,0.059,751,0.6513,79,0.0685
"УИК №426",426,2693,2300,342,173,1591,391,149,391,2113,42,2462,0,0,11,30,0.012,95,0.0379,16,0.0064,2290,0.9145,31,0.0124
"УИК №427",427,2271,1800,325,176,725,114,812,114,1050,34,1130,0,0,11,26,0.0223,94,0.0808,33,0.0284,942,0.8093,35,0.0301
"УИК №428",428,2125,1800,306,219,590,17,1106,17,896,6,907,0,0,11,31,0.034,144,0.1577,87,0.0953,541,0.5926,104,0.1139
"УИК №429",429,1849,1300,268,172,979,5,220,5,1252,20,1237,0,0,11,10,0.008,110,0.0875,98,0.078,901,0.7168,118,0.0939
"УИК №430",430,2182,1300,318,216,774,71,353,71,1230,10,1291,0,0,11,132,0.1015,205,0.1576,74,0.0569,803,0.6172,77,0.0592
"УИК №431",431,2025,1300,298,211,845,96,272,96,1137,26,1207,0,0,11,21,0.017,58,0.047,12,0.0097,1097,0.8897,19,0.0154
"УИК №432",432,1937,1300,287,227,705,66,469,66,992,5,1053,0,0,11,16,0.0151,105,0.0992,30,0.0284,810,0.7656,92,0.087
"УИК №433",433,2019,1800,301,190,716,3,970,3,1017,39,981,0,0,11,12,0.0118,56,0.0549,14,0.0137,886,0.8686,13,0.0127
"УИК №434",434,2081,1300,308,157,936,19,194,19,1239,28,1230,0,0,11,19,0.0151,86,0.0684,16,0.0127,1092,0.868,17,0.0135
"УИК №435",435,2266,2300,282,148,1717,13,436,13,1704,34,1683,0,0,11,46,0.0268,143,0.0833,35,0.0204,1418,0.8259,41,0.0239
"УИК №436",436,2120,1800,310,266,675,6,1075,6,1023,23,1006,0,0,11,25,0.0243,66,0.0641,12,0.0117,888,0.863,15,0.0146
"УИК №437",437,1877,1300,272,227,581,17,657,17,853,5,865,0,0,11,9,0.0103,61,0.0701,15,0.0172,765,0.8793,15,0.0172
"УИК №438",438,2214,1800,318,189,554,10,1107,10,866,36,840,0,0,11,19,0.0217,67,0.0765,19,0.0217,708,0.8082,27,0.0308
"УИК №439",439,2273,1800,325,216,1046,2,643,2,1022,24,1000,0,0,11,25,0.0244,104,0.1016,22,0.0215,821,0.8018,28,0.0273
"УИК №440",440,2620,1800,375,211,1376,23,237,23,1336,40,1319,0,0,11,60,0.0442,172,0.1266,42,0.0309,912,0.6711,133,0.0979
"УИК №441",441,2494,1800,359,152,667,23,903,23,1026,1,1048,0,0,11,21,0.02,112,0.1068,121,0.1153,683,0.6511,111,0.1058
"УИК №442",442,2204,1800,320,186,826,29,811,29,1012,1,1040,0,0,11,14,0.0134,166,0.1595,12,0.0115,824,0.7915,24,0.0231
"УИК №443",443,2208,1800,322,211,750,18,921,18,1072,9,1081,0,0,11,25,0.0229,134,0.1229,98,0.0899,755,0.6927,69,0.0633
