UIK,UIK.NO,VOTERS,BULL.RECEIVED,BULL.ISS.PRELIMINARY,BULL.ISS.PRELIMINARY.TIK,BULL.ISS.UIK.DAYOFVOTE,BULL.ISS.EXTRA,BULL.CANCELLED,BULL.PORTABLE_BOXES,BULL.STATIONARY_BOXES,BULL.INVALID,BULL.VALID,BULL.LOST,BULL.NOT.RECORDED,TIK.NO,BIKBAEV,BIKBAEV.pct,IVANOVA,IVANOVA.pct,PETROV,PETROV.pct,POLTAVCHENKO,POLTAVCHENKO.pct,SUKHENKO,SUKHENKO.pct
"УИК №1603",1603,2508,1800,218,178,1254,5,501,5,1650,21,1634,0,0,24,65,0.0393,124,0.0749,106,0.064,1228,0.742,111,0.0671
"УИК №1604",1604,2426,1700,206,164,1018,2,638,2,1224,11,1215,0,0,24,11,0.009,71,0.0579,11,0.009,1117,0.9111,5,0.0041
"УИК №1605",1605,1721,1750,0,0,1690,0,60,0,1690,0,1690,0,0,24,10,0.0059,35,0.0207,20,0.0118,1601,0.9473,24,0.0142
"УИК №1606",1606,655,700,0,0,655,0,45,0,655,0,655,0,0,24,2,0.0031,13,0.0198,5,0.0076,619,0.945,16,0.0244
"УИК №1607",1607,1228,1250,0,0,1178,0,72,0,1178,0,1178,0,0,24,7,0.0059,16,0.0136,6,0.0051,1106,0.9389,43,0.0365
"УИК №1608",1608,974,1000,0,0,944,0,56,0,944,0,944,0,0,24,9,0.0095,12,0.0127,6,0.0064,888,0.9407,29,0.0307
"УИК №973",973,2053,1500,324,63,650,6,583,6,641,13,634,0,0,25,11,0.017,58,0.0896,18,0.0278,530,0.8192,17,0.0263
"УИК №974",974,1916,1500,274,59,299,8,978,8,565,19,554,0,0,25,5,0.0087,49,0.0855,11,0.0192,476,0.8307,13,0.0227
"УИК №975",975,1791,1500,317,66,249,6,994,6,564,17,553,0,0,25,13,0.0228,54,0.0947,14,0.0246,459,0.8053,13,0.0228
"УИК №976",976,2596,2000,323,56,487,11,1235,11,808,40,779,0,0,25,16,0.0195,78,0.0952,18,0.022,638,0.779,29,0.0354
"УИК №977",977,1962,1500,256,69,314,12,987,12,567,23,556,0,0,25,7,0.0121,58,0.1002,11,0.019,459,0.7927,21,0.0363
"УИК №978",978,2215,2000,194,62,339,3,1526,3,532,29,506,0,0,25,5,0.0093,76,0.1421,11,0.0206,396,0.7402,18,0.0336
"УИК №979",979,2196,2000,242,67,368,13,1444,13,607,35,585,0,0,25,20,0.0323,66,0.1065,9,0.0145,474,0.7645,16,0.0258
"УИК №980",980,2085,1500,299,54,317,11,927,11,612,29,594,0,0,25,16,0.0257,70,0.1124,10,0.0161,479,0.7689,19,0.0305
"УИК №981",981,1443,1010,217,60,246,6,601,6,461,29,438,0,0,25,10,0.0214,61,0.1306,9,0.0193,345,0.7388,13,0.0278
"УИК №982",982,2036,1500,211,45,373,12,949,12,584,33,563,0,0,25,17,0.0285,65,0.1091,12,0.0201,450,0.755,19,0.0319
"УИК №983",983,1840,1500,175,56,272,6,1103,6,447,35,418,0,0,25,13,0.0287,45,0.0993,14,0.0309,326,0.7196,20,0.0442
"УИК №984",984,1612,1500,110,46,186,2,1248,2,296,17,281,0,0,25,10,0.0336,36,0.1208,10,0.0336,214,0.7181,11,0.0369
"УИК №985",985,2212,2000,164,59,340,8,1547,8,497,31,474,0,0,25,14,0.0277,78,0.1545,7,0.0139,354,0.701,21,0.0416
"УИК №986",986,1936,1500,160,47,360,7,1020,7,520,44,483,0,0,25,23,0.0436,62,0.1176,19,0.0361,370,0.7021,9,0.0171
"УИК №987",987,1243,1000,266,62,230,18,548,18,496,14,500,0,0,25,10,0.0195,46,0.0895,6,0.0117,424,0.8249,14,0.0272
"УИК №988",988,2299,2000,357,57,359,27,1314,27,715,23,719,0,0,25,4,0.0054,68,0.0916,19,0.0256,606,0.8167,22,0.0296
"УИК №989",989,1446,1000,276,63,196,4,587,4,472,18,458,0,0,25,6,0.0126,49,0.1029,7,0.0147,380,0.7983,16,0.0336
"УИК №990",990,2070,1500,318,52,403,5,826,5,721,30,696,0,0,25,17,0.0234,86,0.1185,22,0.0303,556,0.7658,15,0.0207
"УИК №991",991,2157,2000,267,58,346,15,1430,15,613,22,606,0,0,25,15,0.0239,65,0.1035,13,0.0207,494,0.7866,19,0.0303
"УИК №992",992,2063,1500,285,47,344,9,909,9,626,26,609,0,0,25,9,0.0142,71,0.1118,12,0.0189,491,0.7732,26,0.0409
"УИК №993",993,2345,2000,327,66,440,10,1289,10,778,38,750,0,0,25,33,0.0419,85,0.1079,16,0.0203,596,0.7563,20,0.0254
"УИК №994",994,1963,1500,278,53,382,10,883,10,660,26,644,0,0,25,18,0.0269,78,0.1164,27,0.0403,496,0.7403,25,0.0373
"УИК №995",995,2141,1500,243,63,409,9,902,8,651,36,623,0,0,25,13,0.0197,97,0.1472,7,0.0106,490,0.7436,16,0.0243
"УИК №996",996,2161,1510,303,49,442,7,807,7,745,13,739,0,0,25,18,0.0239,66,0.0878,25,0.0332,609,0.8098,21,0.0279
"УИК №997",997,1508,1500,189,56,260,0,1107,0,449,14,435,0,0,25,6,0.0134,42,0.0935,11,0.0245,364,0.8107,12,0.0267
"УИК №998",998,1973,1500,103,52,286,8,1155,8,389,20,377,0,0,25,11,0.0277,56,0.1411,12,0.0302,285,0.7179,13,0.0327
"УИК №999",999,2270,2000,332,65,331,4,1398,4,663,0,667,0,0,25,12,0.018,60,0.0899,6,0.009,574,0.8606,15,0.0225
"УИК №1000",1000,2211,2000,271,46,368,8,1399,8,638,18,628,0,0,25,20,0.031,63,0.0975,16,0.0248,499,0.7724,30,0.0464
"УИК №1001",1001,2262,2000,329,65,317,17,1402,17,647,21,643,0,0,25,13,0.0196,61,0.0919,14,0.0211,529,0.7967,26,0.0392
"УИК №1002",1002,2440,2000,246,56,388,7,1415,7,634,25,616,0,0,25,7,0.0109,65,0.1014,15,0.0234,503,0.7847,26,0.0406
"УИК №1003",1003,2124,1500,301,60,343,7,909,7,641,27,621,0,0,25,17,0.0262,57,0.088,12,0.0185,513,0.7917,22,0.034
"УИК №1004",1004,1920,1500,165,48,855,44,484,44,1020,16,1048,0,0,25,14,0.0132,78,0.0733,37,0.0348,873,0.8205,46,0.0432
